rewire_id,label_pred
sexism2022_english-19987,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-19824,2.2 aggressive and emotive attacks
sexism2022_english-5928,2.1 descriptive attacks
sexism2022_english-3950,2.2 aggressive and emotive attacks
sexism2022_english-9568,1.2 incitement and encouragement of harm
sexism2022_english-9415,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-12336,3.2 immutable gender differences and gender stereotypes
sexism2022_english-17679,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-11284,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9929,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-10229,2.2 aggressive and emotive attacks
sexism2022_english-6741,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-2915,2.2 aggressive and emotive attacks
sexism2022_english-4067,2.1 descriptive attacks
sexism2022_english-12264,4.2 supporting systemic discrimination against women as a group
sexism2022_english-15846,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-4494,4.2 supporting systemic discrimination against women as a group
sexism2022_english-10623,2.2 aggressive and emotive attacks
sexism2022_english-8650,2.2 aggressive and emotive attacks
sexism2022_english-8427,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-2732,2.1 descriptive attacks
sexism2022_english-7005,3.4 condescending explanations or unwelcome advice
sexism2022_english-7615,2.2 aggressive and emotive attacks
sexism2022_english-44,2.2 aggressive and emotive attacks
sexism2022_english-17346,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-18636,2.1 descriptive attacks
sexism2022_english-14879,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-14061,2.1 descriptive attacks
sexism2022_english-14300,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15046,2.1 descriptive attacks
sexism2022_english-14409,3.3 backhanded gendered compliments
sexism2022_english-11066,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-665,2.2 aggressive and emotive attacks
sexism2022_english-5599,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16228,2.1 descriptive attacks
sexism2022_english-1380,2.1 descriptive attacks
sexism2022_english-194,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-5297,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-269,1.2 incitement and encouragement of harm
sexism2022_english-5354,2.2 aggressive and emotive attacks
sexism2022_english-638,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-15317,2.1 descriptive attacks
sexism2022_english-17052,1.1 threats of harm
sexism2022_english-2476,2.2 aggressive and emotive attacks
sexism2022_english-1313,4.2 supporting systemic discrimination against women as a group
sexism2022_english-19074,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-10748,2.2 aggressive and emotive attacks
sexism2022_english-5503,2.2 aggressive and emotive attacks
sexism2022_english-7314,2.2 aggressive and emotive attacks
sexism2022_english-12555,2.1 descriptive attacks
sexism2022_english-6629,2.2 aggressive and emotive attacks
sexism2022_english-14870,3.2 immutable gender differences and gender stereotypes
sexism2022_english-11346,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-17240,2.2 aggressive and emotive attacks
sexism2022_english-19891,2.1 descriptive attacks
sexism2022_english-17781,2.2 aggressive and emotive attacks
sexism2022_english-19554,2.1 descriptive attacks
sexism2022_english-8000,2.2 aggressive and emotive attacks
sexism2022_english-1398,1.2 incitement and encouragement of harm
sexism2022_english-7782,2.2 aggressive and emotive attacks
sexism2022_english-4813,1.2 incitement and encouragement of harm
sexism2022_english-9427,2.1 descriptive attacks
sexism2022_english-11154,3.2 immutable gender differences and gender stereotypes
sexism2022_english-18577,4.2 supporting systemic discrimination against women as a group
sexism2022_english-8338,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-3962,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-6649,2.2 aggressive and emotive attacks
sexism2022_english-4006,3.2 immutable gender differences and gender stereotypes
sexism2022_english-16501,4.2 supporting systemic discrimination against women as a group
sexism2022_english-19616,3.2 immutable gender differences and gender stereotypes
sexism2022_english-2599,1.2 incitement and encouragement of harm
sexism2022_english-3702,2.2 aggressive and emotive attacks
sexism2022_english-6465,3.2 immutable gender differences and gender stereotypes
sexism2022_english-2862,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-18355,3.2 immutable gender differences and gender stereotypes
sexism2022_english-1914,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-12812,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-8672,2.2 aggressive and emotive attacks
sexism2022_english-3981,2.2 aggressive and emotive attacks
sexism2022_english-3310,2.2 aggressive and emotive attacks
sexism2022_english-9430,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-2761,2.2 aggressive and emotive attacks
sexism2022_english-23,2.1 descriptive attacks
sexism2022_english-13015,1.2 incitement and encouragement of harm
sexism2022_english-3368,2.1 descriptive attacks
sexism2022_english-12423,2.1 descriptive attacks
sexism2022_english-17375,2.2 aggressive and emotive attacks
sexism2022_english-12169,3.2 immutable gender differences and gender stereotypes
sexism2022_english-5961,1.1 threats of harm
sexism2022_english-18784,4.2 supporting systemic discrimination against women as a group
sexism2022_english-2109,3.2 immutable gender differences and gender stereotypes
sexism2022_english-11301,2.1 descriptive attacks
sexism2022_english-8908,2.1 descriptive attacks
sexism2022_english-9476,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-18024,1.2 incitement and encouragement of harm
sexism2022_english-5649,2.1 descriptive attacks
sexism2022_english-9061,2.2 aggressive and emotive attacks
sexism2022_english-17956,2.2 aggressive and emotive attacks
sexism2022_english-17896,4.2 supporting systemic discrimination against women as a group
sexism2022_english-19595,2.2 aggressive and emotive attacks
sexism2022_english-13694,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-12308,2.1 descriptive attacks
sexism2022_english-7161,2.2 aggressive and emotive attacks
sexism2022_english-17033,2.2 aggressive and emotive attacks
sexism2022_english-1763,2.1 descriptive attacks
sexism2022_english-16875,2.1 descriptive attacks
sexism2022_english-17796,2.1 descriptive attacks
sexism2022_english-15950,2.1 descriptive attacks
sexism2022_english-16997,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-6429,2.1 descriptive attacks
sexism2022_english-6418,2.2 aggressive and emotive attacks
sexism2022_english-14810,1.2 incitement and encouragement of harm
sexism2022_english-595,2.2 aggressive and emotive attacks
sexism2022_english-19343,2.1 descriptive attacks
sexism2022_english-2737,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-11843,1.2 incitement and encouragement of harm
sexism2022_english-16821,2.1 descriptive attacks
sexism2022_english-19155,2.2 aggressive and emotive attacks
sexism2022_english-15245,4.2 supporting systemic discrimination against women as a group
sexism2022_english-10911,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13582,2.2 aggressive and emotive attacks
sexism2022_english-14031,3.3 backhanded gendered compliments
sexism2022_english-9946,2.2 aggressive and emotive attacks
sexism2022_english-14528,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7938,2.2 aggressive and emotive attacks
sexism2022_english-10490,2.2 aggressive and emotive attacks
sexism2022_english-14428,2.2 aggressive and emotive attacks
sexism2022_english-318,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13393,3.2 immutable gender differences and gender stereotypes
sexism2022_english-6255,2.2 aggressive and emotive attacks
sexism2022_english-5592,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-2876,2.2 aggressive and emotive attacks
sexism2022_english-1024,4.1 supporting mistreatment of individual women
sexism2022_english-2285,4.2 supporting systemic discrimination against women as a group
sexism2022_english-1844,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-10146,3.2 immutable gender differences and gender stereotypes
sexism2022_english-11872,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-504,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-19764,2.1 descriptive attacks
sexism2022_english-7968,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-1672,1.1 threats of harm
sexism2022_english-6450,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-3404,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9041,1.2 incitement and encouragement of harm
sexism2022_english-17826,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-5121,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-9937,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-17288,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9363,2.1 descriptive attacks
sexism2022_english-2078,3.2 immutable gender differences and gender stereotypes
sexism2022_english-18011,1.1 threats of harm
sexism2022_english-4744,3.3 backhanded gendered compliments
sexism2022_english-6401,2.2 aggressive and emotive attacks
sexism2022_english-8210,2.1 descriptive attacks
sexism2022_english-7317,2.2 aggressive and emotive attacks
sexism2022_english-3103,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9511,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13733,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7704,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-2752,2.2 aggressive and emotive attacks
sexism2022_english-8462,2.2 aggressive and emotive attacks
sexism2022_english-7710,2.1 descriptive attacks
sexism2022_english-17075,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-14868,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9984,2.1 descriptive attacks
sexism2022_english-14525,2.2 aggressive and emotive attacks
sexism2022_english-10969,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-10248,1.2 incitement and encouragement of harm
sexism2022_english-823,3.2 immutable gender differences and gender stereotypes
sexism2022_english-14269,4.2 supporting systemic discrimination against women as a group
sexism2022_english-12804,2.1 descriptive attacks
sexism2022_english-19239,2.1 descriptive attacks
sexism2022_english-571,2.1 descriptive attacks
sexism2022_english-580,1.2 incitement and encouragement of harm
sexism2022_english-2897,3.2 immutable gender differences and gender stereotypes
sexism2022_english-3586,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15221,2.1 descriptive attacks
sexism2022_english-16740,2.2 aggressive and emotive attacks
sexism2022_english-14830,1.2 incitement and encouragement of harm
sexism2022_english-12315,2.2 aggressive and emotive attacks
sexism2022_english-9152,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-19372,2.2 aggressive and emotive attacks
sexism2022_english-16129,3.2 immutable gender differences and gender stereotypes
sexism2022_english-19161,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-18231,3.2 immutable gender differences and gender stereotypes
sexism2022_english-863,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7046,3.2 immutable gender differences and gender stereotypes
sexism2022_english-12218,2.1 descriptive attacks
sexism2022_english-11583,4.2 supporting systemic discrimination against women as a group
sexism2022_english-18386,2.2 aggressive and emotive attacks
sexism2022_english-12098,4.2 supporting systemic discrimination against women as a group
sexism2022_english-14596,1.2 incitement and encouragement of harm
sexism2022_english-4981,3.3 backhanded gendered compliments
sexism2022_english-4780,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13364,2.2 aggressive and emotive attacks
sexism2022_english-11239,4.2 supporting systemic discrimination against women as a group
sexism2022_english-5341,2.2 aggressive and emotive attacks
sexism2022_english-18510,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7072,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-15156,3.2 immutable gender differences and gender stereotypes
sexism2022_english-11296,1.2 incitement and encouragement of harm
sexism2022_english-19953,4.2 supporting systemic discrimination against women as a group
sexism2022_english-19735,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15665,1.2 incitement and encouragement of harm
sexism2022_english-9103,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7708,1.2 incitement and encouragement of harm
sexism2022_english-15981,2.1 descriptive attacks
sexism2022_english-14204,2.2 aggressive and emotive attacks
sexism2022_english-735,2.2 aggressive and emotive attacks
sexism2022_english-17691,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9199,2.1 descriptive attacks
sexism2022_english-9935,1.1 threats of harm
sexism2022_english-30,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13597,2.1 descriptive attacks
sexism2022_english-12580,2.1 descriptive attacks
sexism2022_english-14519,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-17926,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-17170,2.2 aggressive and emotive attacks
sexism2022_english-18026,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-17641,2.2 aggressive and emotive attacks
sexism2022_english-14700,3.2 immutable gender differences and gender stereotypes
sexism2022_english-949,2.2 aggressive and emotive attacks
sexism2022_english-5453,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-5162,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-1381,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-3419,2.3 dehumanising attacks & overt sexual objectification
sexism2022_english-17059,2.1 descriptive attacks
sexism2022_english-14708,2.1 descriptive attacks
sexism2022_english-10304,4.2 supporting systemic discrimination against women as a group
sexism2022_english-5263,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-10934,2.1 descriptive attacks
sexism2022_english-12229,4.2 supporting systemic discrimination against women as a group
sexism2022_english-5963,1.2 incitement and encouragement of harm
sexism2022_english-7912,3.2 immutable gender differences and gender stereotypes
sexism2022_english-4829,3.2 immutable gender differences and gender stereotypes
sexism2022_english-10894,3.2 immutable gender differences and gender stereotypes
sexism2022_english-11573,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-9440,2.2 aggressive and emotive attacks
sexism2022_english-5809,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-15829,2.2 aggressive and emotive attacks
sexism2022_english-4291,2.2 aggressive and emotive attacks
sexism2022_english-476,2.2 aggressive and emotive attacks
sexism2022_english-7226,3.2 immutable gender differences and gender stereotypes
sexism2022_english-1728,2.2 aggressive and emotive attacks
sexism2022_english-1917,3.2 immutable gender differences and gender stereotypes
sexism2022_english-3163,2.2 aggressive and emotive attacks
sexism2022_english-1395,2.1 descriptive attacks
sexism2022_english-18660,2.2 aggressive and emotive attacks
sexism2022_english-1814,3.2 immutable gender differences and gender stereotypes
sexism2022_english-18654,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-1588,3.2 immutable gender differences and gender stereotypes
sexism2022_english-13599,3.2 immutable gender differences and gender stereotypes
sexism2022_english-14770,2.1 descriptive attacks
sexism2022_english-427,3.2 immutable gender differences and gender stereotypes
sexism2022_english-16848,3.3 backhanded gendered compliments
sexism2022_english-4108,2.1 descriptive attacks
sexism2022_english-11136,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-14051,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-415,3.3 backhanded gendered compliments
sexism2022_english-13280,4.2 supporting systemic discrimination against women as a group
sexism2022_english-18187,2.1 descriptive attacks
sexism2022_english-12107,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-11613,3.2 immutable gender differences and gender stereotypes
sexism2022_english-17071,3.2 immutable gender differences and gender stereotypes
sexism2022_english-1904,2.1 descriptive attacks
sexism2022_english-7888,3.3 backhanded gendered compliments
sexism2022_english-3788,3.2 immutable gender differences and gender stereotypes
sexism2022_english-16835,2.2 aggressive and emotive attacks
sexism2022_english-10386,1.2 incitement and encouragement of harm
sexism2022_english-7455,1.2 incitement and encouragement of harm
sexism2022_english-18481,3.2 immutable gender differences and gender stereotypes
sexism2022_english-7103,2.1 descriptive attacks
sexism2022_english-8409,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-19966,4.2 supporting systemic discrimination against women as a group
sexism2022_english-1205,3.2 immutable gender differences and gender stereotypes
sexism2022_english-9648,4.2 supporting systemic discrimination against women as a group
sexism2022_english-15305,4.2 supporting systemic discrimination against women as a group
sexism2022_english-17168,1.2 incitement and encouragement of harm
sexism2022_english-16987,2.1 descriptive attacks
sexism2022_english-11192,2.2 aggressive and emotive attacks
sexism2022_english-1296,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-7440,2.2 aggressive and emotive attacks
sexism2022_english-783,2.1 descriptive attacks
sexism2022_english-17358,3.2 immutable gender differences and gender stereotypes
sexism2022_english-14871,2.2 aggressive and emotive attacks
sexism2022_english-10379,4.1 supporting mistreatment of individual women
sexism2022_english-13702,2.2 aggressive and emotive attacks
sexism2022_english-10735,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-11579,2.2 aggressive and emotive attacks
sexism2022_english-4456,4.2 supporting systemic discrimination against women as a group
sexism2022_english-9044,1.2 incitement and encouragement of harm
sexism2022_english-18705,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-9850,3.2 immutable gender differences and gender stereotypes
sexism2022_english-15575,2.1 descriptive attacks
sexism2022_english-6439,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-17974,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-13793,2.1 descriptive attacks
sexism2022_english-5972,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16735,2.2 aggressive and emotive attacks
sexism2022_english-9033,2.2 aggressive and emotive attacks
sexism2022_english-10581,2.1 descriptive attacks
sexism2022_english-2738,4.2 supporting systemic discrimination against women as a group
sexism2022_english-8286,4.2 supporting systemic discrimination against women as a group
sexism2022_english-2590,1.2 incitement and encouragement of harm
sexism2022_english-15781,"3.1 casual use of gendered slurs, profanities, and insults"
sexism2022_english-16152,2.1 descriptive attacks
sexism2022_english-6204,2.2 aggressive and emotive attacks
sexism2022_english-14909,2.1 descriptive attacks
sexism2022_english-14270,2.3 dehumanising attacks & overt sexual objectification
